model,format,role,condition,accuracy,spearman_rho,risk_f1,hybrid_consistency,n_valid,n_total,parse_rate,accuracy_all_rows,accuracy_parsed_only,refusal_rate,mean_prediction,mode_prediction,mean_signed_error,mean_absolute_error,hybrid_num_acc,hybrid_cat_acc,hybrid_consistency_observed
1B,category,forced_answer,category__forced_answer,0.1875,-0.3416,0.4348,,48,48,1.0,,,,,,,,,,
1B,category,instruction_constrained,category__instruction_constrained,0.1875,0.376,0.359,,48,48,1.0,,,,,,,,,,
1B,category,role_prompting,category__role_prompting,0.2083,0.6356,0.4,,48,48,1.0,,,,,,,,,,
1B,category,zero_shot,category__zero_shot,0.2292,0.4561,0.439,,48,48,1.0,,,,,,,,,,
1B,hybrid,forced_answer,hybrid__forced_answer,0.1667,0.2223,0.2857,0.1923,48,48,1.0,,,,,,,,0.1667,0.125,0.1923
1B,hybrid,instruction_constrained,hybrid__instruction_constrained,0.1304,0.1817,0.1111,0.2174,46,48,0.9583,,,,,,,,0.125,0.0833,0.2174
1B,hybrid,role_prompting,hybrid__role_prompting,0.1667,,0.0,0.5,48,48,1.0,,,,,,,,0.1667,0.0417,0.5
1B,hybrid,zero_shot,hybrid__zero_shot,0.1667,,0.0,0.5,48,48,1.0,,,,,,,,0.1667,0.0417,0.5
1B,numeric,forced_answer,numeric__forced_answer,0.1667,0.6547,0.0,,48,48,1.0,0.1667,0.1667,0.0,2.0417,2.0,-0.4583,1.4583,,,
1B,numeric,instruction_constrained,numeric__instruction_constrained,0.1875,0.5237,0.1176,,48,48,1.0,0.1875,0.1875,0.0208,2.0833,2.0,-0.4167,1.4167,,,
1B,numeric,role_prompting,numeric__role_prompting,0.1818,0.8039,0.0,,22,48,0.4583,0.0833,0.1818,0.5417,2.7273,2.0,0.6818,1.2273,,,
1B,numeric,zero_shot,numeric__zero_shot,0.3333,0.3058,0.4444,,15,48,0.3125,0.1042,0.3333,0.6875,2.4,2.0,-0.0667,1.4,,,
3B,category,forced_answer,category__forced_answer,0.3125,0.8053,0.2222,,48,48,1.0,,,,,,,,,,
3B,category,instruction_constrained,category__instruction_constrained,0.3542,0.6817,0.4,,48,48,1.0,,,,,,,,,,
3B,category,role_prompting,category__role_prompting,0.4375,0.7073,0.5217,,48,48,1.0,,,,,,,,,,
3B,category,zero_shot,category__zero_shot,0.3958,0.9153,0.4545,,48,48,1.0,,,,,,,,,,
3B,hybrid,forced_answer,hybrid__forced_answer,0.1875,0.5945,0.0,0.3023,48,48,1.0,,,,,,,,0.1875,0.2292,0.3023
3B,hybrid,instruction_constrained,hybrid__instruction_constrained,0.1875,0.5945,0.0,0.3095,48,48,1.0,,,,,,,,0.1875,0.3125,0.3095
3B,hybrid,role_prompting,hybrid__role_prompting,0.2708,0.8699,0.0,0.6098,48,48,1.0,,,,,,,,0.2708,0.25,0.6098
3B,hybrid,zero_shot,hybrid__zero_shot,0.2708,0.841,0.0,0.5333,48,48,1.0,,,,,,,,0.2708,0.3125,0.5333
3B,numeric,forced_answer,numeric__forced_answer,0.2292,0.6853,0.0,,48,48,1.0,0.2292,0.2292,0.0,3.3333,4.0,0.8333,1.25,,,
3B,numeric,instruction_constrained,numeric__instruction_constrained,0.25,0.7425,0.0,,48,48,1.0,0.25,0.25,0.0,3.3125,4.0,0.8125,1.1458,,,
3B,numeric,role_prompting,numeric__role_prompting,0.3125,0.7165,0.0,,48,48,1.0,0.3125,0.3125,0.0,3.1667,4.0,0.6667,1.0833,,,
3B,numeric,zero_shot,numeric__zero_shot,0.2917,0.7394,0.0,,48,48,1.0,0.2917,0.2917,0.0,3.2292,4.0,0.7292,1.0625,,,
