model,format,role,condition,accuracy,spearman_rho,risk_f1,hybrid_consistency,n_valid,n_total,parse_rate
1B,category,forced_answer,category__forced_answer,0.1875,-0.3415650255319866,0.43478260869565216,,48,48,1.0
1B,category,instruction_constrained,category__instruction_constrained,0.1875,0.3759948687748571,0.358974358974359,,48,48,1.0
1B,category,role_prompting,category__role_prompting,0.20833333333333334,0.6355511340392331,0.4,,48,48,1.0
1B,category,zero_shot,category__zero_shot,0.22916666666666666,0.4561461116400678,0.43902439024390244,,48,48,1.0
1B,hybrid,forced_answer,hybrid__forced_answer,0.16666666666666666,0.22233689275238247,0.2857142857142857,0.19230769230769232,48,48,1.0
1B,hybrid,instruction_constrained,hybrid__instruction_constrained,0.13043478260869565,0.18168695859698109,0.1111111111111111,0.21739130434782608,46,48,0.9583333333333334
1B,hybrid,role_prompting,hybrid__role_prompting,0.16666666666666666,,0.0,0.5,48,48,1.0
1B,hybrid,zero_shot,hybrid__zero_shot,0.16666666666666666,,0.0,0.5,48,48,1.0
1B,numeric,forced_answer,numeric__forced_answer,0.16666666666666666,0.6546536707079772,0.0,,48,48,1.0
1B,numeric,instruction_constrained,numeric__instruction_constrained,0.1875,0.5237229365663818,0.11764705882352941,,48,48,1.0
1B,numeric,role_prompting,numeric__role_prompting,0.18181818181818182,0.8038951410302513,0.0,,22,48,0.4583333333333333
1B,numeric,zero_shot,numeric__zero_shot,0.3333333333333333,0.3058466186635847,0.4444444444444444,,15,48,0.3125
3B,category,forced_answer,category__forced_answer,0.3125,0.8052940110400345,0.2222222222222222,,48,48,1.0
3B,category,instruction_constrained,category__instruction_constrained,0.3541666666666667,0.6816724461729813,0.4,,48,48,1.0
3B,category,role_prompting,category__role_prompting,0.4375,0.7072848813632782,0.5217391304347826,,48,48,1.0
3B,category,zero_shot,category__zero_shot,0.3958333333333333,0.9153303283316262,0.45454545454545453,,48,48,1.0
3B,hybrid,forced_answer,hybrid__forced_answer,0.1875,0.594500086932336,0.0,0.3023255813953488,48,48,1.0
3B,hybrid,instruction_constrained,hybrid__instruction_constrained,0.1875,0.594500086932336,0.0,0.30952380952380953,48,48,1.0
3B,hybrid,role_prompting,hybrid__role_prompting,0.2708333333333333,0.8699381665798708,0.0,0.6097560975609756,48,48,1.0
3B,hybrid,zero_shot,hybrid__zero_shot,0.2708333333333333,0.8410339998293961,0.0,0.5333333333333333,48,48,1.0
3B,numeric,forced_answer,numeric__forced_answer,0.22916666666666666,0.6853448974652875,0.0,,48,48,1.0
3B,numeric,instruction_constrained,numeric__instruction_constrained,0.25,0.7425463347786004,0.0,,48,48,1.0
3B,numeric,role_prompting,numeric__role_prompting,0.3125,0.7165460259754693,0.0,,48,48,1.0
3B,numeric,zero_shot,numeric__zero_shot,0.2916666666666667,0.7393662251719234,0.0,,48,48,1.0
